site_id,name,country,region,admin,lat,lon,cultivar_class,cultivar,media,structure,cover,habit,outcome,source,geocode_precision,notes
us-ga-alapaha,Alapaha,US,US-SE,Georgia,31.38,-83.22,high_chill_shb,suziblue,open_soil,open,none,deciduous,commercial_success,Berrien SHB,town,
us-ga-broxton,Broxton,US,US-SE,Georgia,31.63,-82.89,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Coffee,town,
us-ga-jesup,Jesup,US,US-SE,Georgia,31.61,-81.88,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Wayne,town,
us-ga-douglas-shb,Douglas SHB,US,US-SE,Georgia,31.48,-82.83,high_chill_shb,rebel,open_soil,open,none,deciduous,commercial_success,Coffee SHB plantings,town,
us-nc-burgaw,Burgaw,US,US-SE,North Carolina,34.55,-77.92,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,"Pender, NC blueberry belt",town,
us-nc-ivanhoe,Ivanhoe,US,US-SE,North Carolina,34.58,-78.25,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Sampson/Bladen edge,town,
us-nc-atkinson,Atkinson,US,US-SE,North Carolina,34.53,-78.17,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Pender,town,
us-nc-white-lake,White Lake,US,US-SE,North Carolina,34.64,-78.49,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Bladen,town,
us-nc-elizabethtown,Elizabethtown,US,US-SE,North Carolina,34.63,-78.61,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Bladen,town,
us-nc-bladenboro,Bladenboro,US,US-SE,North Carolina,34.54,-78.79,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Bladen,town,
us-nc-clarkton,Clarkton,US,US-SE,North Carolina,34.49,-78.66,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Bladen,town,
us-nc-garland,Garland,US,US-SE,North Carolina,34.79,-78.43,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Sampson,town,
us-nc-clinton,Clinton NC,US,US-SE,North Carolina,35.0,-78.32,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Sampson,town,
us-nc-magnolia,Magnolia,US,US-SE,North Carolina,34.9,-78.05,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Duplin,town,
us-nc-rose-hill,Rose Hill,US,US-SE,North Carolina,34.82,-78.02,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Duplin,town,
us-nc-wallace,Wallace,US,US-SE,North Carolina,34.74,-77.99,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Duplin,town,
us-nc-kenansville,Kenansville,US,US-SE,North Carolina,34.96,-77.96,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Duplin,town,
us-nc-warsaw,Warsaw,US,US-SE,North Carolina,35.0,-78.09,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Duplin,town,
us-nc-faison,Faison,US,US-SE,North Carolina,35.12,-78.14,high_chill_shb,star,open_soil,open,none,deciduous,commercial_success,Duplin,town,
us-nc-burgundy,Ivanhoe south,US,US-SE,North Carolina,34.52,-78.28,nhb,legacy,open_soil,open,none,deciduous,commercial_caution,Northern cultivars at NC latitude,town,
us-nc-whiteville,Whiteville,US,US-SE,North Carolina,34.34,-78.7,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Columbus,town,
us-nc-tabor,Tabor City,US,US-SE,North Carolina,34.15,-78.88,rabbiteye,climax,open_soil,open,none,deciduous,commercial_success,Columbus,town,
us-sc-loris,Loris,US,US-SE,South Carolina,34.06,-78.89,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Horry,town,
us-sc-conway,Conway,US,US-SE,South Carolina,33.84,-79.05,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Horry,town,
us-sc-hemingway,Hemingway,US,US-SE,South Carolina,33.75,-79.45,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Williamsburg,town,
us-sc-johnsonville,Johnsonville,US,US-SE,South Carolina,33.82,-79.45,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Florence,town,
us-sc-lake-city,Lake City SC,US,US-SE,South Carolina,33.87,-79.75,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Florence,town,
us-sc-moncks,Moncks Corner,US,US-SE,South Carolina,33.2,-80.01,rabbiteye,climax,open_soil,open,none,deciduous,commercial_success,Berkeley,town,
us-al-fairhope,Fairhope,US,US-SE,Alabama,30.52,-87.9,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Baldwin,town,
us-al-foley,Foley,US,US-SE,Alabama,30.41,-87.68,low_chill_shb,biloxi,open_soil,open,none,deciduous,commercial_success,Baldwin Gulf,town,
us-ms-poplarville,Poplarville,US,US-SE,Mississippi,30.84,-89.53,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,USDA Poplarville,town,
us-ms-wiggins,Wiggins,US,US-SE,Mississippi,30.86,-89.14,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Stone,town,
us-ms-hattiesburg,Hattiesburg,US,US-SE,Mississippi,31.33,-89.29,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Forrest,town,
us-ar-springdale,Springdale,US,US-SE,Arkansas,36.19,-94.13,nhb,duke,open_soil,open,none,deciduous,commercial_caution,Limited Ozark plantings,town,
us-mi-grand-junction,Grand Junction,US,US-MI,Michigan,42.4,-86.08,nhb,duke,open_soil,open,none,deciduous,commercial_success,"Van Buren, US NHB core",town,
us-mi-south-haven,South Haven,US,US-MI,Michigan,42.4,-86.27,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Van Buren,town,
us-mi-covert,Covert,US,US-MI,Michigan,42.29,-86.26,nhb,draper,open_soil,open,none,deciduous,commercial_success,Van Buren,town,
us-mi-bangor,Bangor MI,US,US-MI,Michigan,42.31,-86.11,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Van Buren,town,
us-mi-hartford,Hartford,US,US-MI,Michigan,42.21,-86.17,nhb,duke,open_soil,open,none,deciduous,commercial_success,Van Buren,town,
us-mi-watervliet,Watervliet,US,US-MI,Michigan,42.19,-86.26,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Berrien,town,
us-mi-coloma,Coloma,US,US-MI,Michigan,42.19,-86.31,nhb,draper,open_soil,open,none,deciduous,commercial_success,Berrien,town,
us-mi-benton-harbor,Benton Harbor,US,US-MI,Michigan,42.12,-86.45,nhb,duke,open_soil,open,none,deciduous,commercial_success,Berrien,town,
us-mi-holland,Holland,US,US-MI,Michigan,42.79,-86.11,nhb,aurora,open_soil,open,none,deciduous,commercial_success,Ottawa,town,
us-mi-west-olive,West Olive,US,US-MI,Michigan,42.92,-86.14,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Ottawa,town,
us-mi-fennville,Fennville,US,US-MI,Michigan,42.59,-86.1,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Allegan,town,
us-mi-saugatuck,Saugatuck,US,US-MI,Michigan,42.65,-86.2,nhb,duke,open_soil,open,none,deciduous,commercial_success,Allegan,town,
us-mi-pullman,Pullman,US,US-MI,Michigan,42.48,-86.09,nhb,draper,open_soil,open,none,deciduous,commercial_success,Allegan,town,
us-mi-bloomingdale,Bloomingdale,US,US-MI,Michigan,42.38,-85.96,nhb,legacy,open_soil,open,none,deciduous,commercial_caution,"Inland, fruit-bud winter kill risk",town,
us-mi-gobles,Gobles,US,US-MI,Michigan,42.36,-85.88,nhb,draper,open_soil,open,none,deciduous,commercial_caution,Inland Michigan,town,
us-mi-lawton,Lawton,US,US-MI,Michigan,42.17,-85.85,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Van Buren inland,town,
us-mi-paw-paw,Paw Paw,US,US-MI,Michigan,42.22,-85.89,nhb,duke,open_soil,open,none,deciduous,commercial_success,Van Buren,town,
us-mi-dowagiac,Dowagiac,US,US-MI,Michigan,41.98,-86.11,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Cass,town,
us-mi-niles,Niles,US,US-MI,Michigan,41.83,-86.25,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Berrien/Cass,town,
us-mi-berrien-springs,Berrien Springs,US,US-MI,Michigan,41.95,-86.34,nhb,duke,open_soil,open,none,deciduous,commercial_success,Berrien,town,
us-mi-allegan,Allegan,US,US-MI,Michigan,42.53,-85.86,nhb,aurora,open_soil,open,none,deciduous,commercial_caution,Inland,town,
us-mi-inland-legacy,Inland Allegan Legacy,US,US-MI,Michigan,42.55,-85.7,high_chill_shb,legacy,open_soil,open,none,deciduous,known_failure,Inland Michigan winter kills Legacy fruit buds,town,
us-or-corvallis,Corvallis,US,US-PNW,Oregon,44.56,-123.26,nhb,duke,open_soil,open,none,deciduous,commercial_success,OSU / Willamette,town,
us-or-albany,Albany,US,US-PNW,Oregon,44.64,-123.11,nhb,draper,open_soil,open,none,deciduous,commercial_success,Linn,town,
us-or-salem,Salem,US,US-PNW,Oregon,44.94,-123.04,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Marion,town,
us-or-woodburn,Woodburn,US,US-PNW,Oregon,45.14,-122.86,nhb,duke,open_soil,open,none,deciduous,commercial_success,Marion,town,
us-or-hubbard,Hubbard,US,US-PNW,Oregon,45.18,-122.81,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Marion,town,
us-or-canby,Canby,US,US-PNW,Oregon,45.26,-122.69,nhb,draper,open_soil,open,none,deciduous,commercial_success,Clackamas,town,
us-or-molalla,Molalla,US,US-PNW,Oregon,45.15,-122.58,nhb,aurora,open_soil,open,none,deciduous,commercial_success,Clackamas,town,
us-or-silverton,Silverton,US,US-PNW,Oregon,45.01,-122.78,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Marion,town,
us-or-lebanon,Lebanon,US,US-PNW,Oregon,44.54,-122.91,nhb,duke,open_soil,open,none,deciduous,commercial_success,Linn,town,
us-or-junction-city,Junction City,US,US-PNW,Oregon,44.22,-123.2,nhb,draper,open_soil,open,none,deciduous,commercial_success,Lane,town,
us-or-eugene,Eugene,US,US-PNW,Oregon,44.05,-123.09,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Lane,town,
us-or-harrisburg,Harrisburg,US,US-PNW,Oregon,44.27,-123.17,nhb,legacy,open_soil,open,none,deciduous,commercial_success,"Linn, hybrid exception",town,
us-or-independence,Independence,US,US-PNW,Oregon,44.85,-123.19,nhb,duke,open_soil,open,none,deciduous,commercial_success,Polk,town,
us-or-mcminnville,McMinnville,US,US-PNW,Oregon,45.21,-123.2,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Yamhill,town,
us-or-newberg,Newberg,US,US-PNW,Oregon,45.3,-122.97,nhb,draper,open_soil,open,none,deciduous,commercial_success,Yamhill,town,
us-or-hillsboro,Hillsboro,US,US-PNW,Oregon,45.52,-122.99,nhb,aurora,open_soil,open,none,deciduous,commercial_success,Washington,town,
us-or-forest-grove,Forest Grove,US,US-PNW,Oregon,45.52,-123.11,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Washington,town,
us-or-sherwood,Sherwood,US,US-PNW,Oregon,45.36,-122.84,nhb,duke,open_soil,open,none,deciduous,commercial_success,Washington,town,
us-or-willamette-emerald,Willamette Emerald,US,US-PNW,Oregon,44.7,-123.1,low_chill_shb,emerald,open_soil,open,none,deciduous,known_failure,OSU: do not plant Emerald in the Willamette,town,
us-or-willamette-biloxi,Willamette Biloxi,US,US-PNW,Oregon,44.85,-123.05,low_chill_shb,biloxi,open_soil,open,none,deciduous,known_failure,OSU: do not plant Biloxi in the Willamette,town,
us-or-willamette-snowchaser,Willamette Snowchaser,US,US-PNW,Oregon,45.0,-122.9,low_chill_shb,snowchaser,open_soil,open,none,deciduous,known_failure,OSU: do not plant Snowchaser in the Willamette,town,
us-wa-lynden,Lynden,US,US-PNW,Washington,48.95,-122.45,nhb,duke,open_soil,open,none,deciduous,commercial_success,"Whatcom, largest WA district",town,
us-wa-ferndale,Ferndale,US,US-PNW,Washington,48.85,-122.59,nhb,draper,open_soil,open,none,deciduous,commercial_success,Whatcom,town,
us-wa-everson,Everson,US,US-PNW,Washington,48.92,-122.34,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Whatcom,town,
us-wa-sumas,Sumas,US,US-PNW,Washington,48.99,-122.26,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Whatcom,town,
us-wa-blaine,Blaine,US,US-PNW,Washington,48.99,-122.75,nhb,aurora,open_soil,open,none,deciduous,commercial_success,Whatcom,town,
us-wa-mount-vernon,Mount Vernon,US,US-PNW,Washington,48.42,-122.33,nhb,duke,open_soil,open,none,deciduous,commercial_success,Skagit,town,
us-wa-burlington,Burlington,US,US-PNW,Washington,48.48,-122.33,nhb,draper,open_soil,open,none,deciduous,commercial_success,Skagit,town,
us-wa-sedro,Sedro-Woolley,US,US-PNW,Washington,48.5,-122.24,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Skagit,town,
us-wa-bow,Bow,US,US-PNW,Washington,48.56,-122.4,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Skagit,town,
us-wa-conway,Conway,US,US-PNW,Washington,48.34,-122.34,nhb,duke,open_soil,open,none,deciduous,commercial_success,Skagit,town,
ca-bc-abbotsford,Abbotsford,CA,CA-BC,British Columbia,49.05,-122.29,nhb,duke,open_soil,open,none,deciduous,commercial_success,Fraser Valley,town,
ca-bc-pitt-meadows,Pitt Meadows,CA,CA-BC,British Columbia,49.23,-122.69,nhb,draper,open_soil,open,none,deciduous,commercial_success,Metro Vancouver,town,
ca-bc-maple-ridge,Maple Ridge,CA,CA-BC,British Columbia,49.22,-122.6,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Fraser,town,
ca-bc-mission,Mission,CA,CA-BC,British Columbia,49.13,-122.31,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Fraser,town,
ca-bc-chilliwack,Chilliwack,CA,CA-BC,British Columbia,49.17,-121.95,nhb,duke,open_soil,open,none,deciduous,commercial_success,Fraser,town,
ca-bc-langley,Langley,CA,CA-BC,British Columbia,49.1,-122.66,nhb,draper,open_soil,open,none,deciduous,commercial_success,Fraser,town,
ca-bc-surrey,Surrey,CA,CA-BC,British Columbia,49.1,-122.8,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Fraser,town,
ca-bc-richmond,Richmond,CA,CA-BC,British Columbia,49.17,-123.14,nhb,aurora,open_soil,open,none,deciduous,commercial_caution,"Urban edge, peat soils",town,
ca-bc-delta,Delta,CA,CA-BC,British Columbia,49.08,-123.06,nhb,duke,open_soil,open,none,deciduous,commercial_success,Fraser delta,town,
ca-bc-aldergrove,Aldergrove,CA,CA-BC,British Columbia,49.06,-122.47,nhb,draper,open_soil,open,none,deciduous,commercial_success,Langley township,town,
ca-bc-agassiz,Agassiz,CA,CA-BC,British Columbia,49.24,-121.77,nhb,elliott,open_soil,open,none,deciduous,commercial_success,Fraser east,town,
ca-bc-matsqui,Matsqui,CA,CA-BC,British Columbia,49.08,-122.3,nhb,bluecrop,open_soil,open,none,deciduous,commercial_success,Abbotsford,town,
cl-osorno,Osorno,CL,CL-SOUTH,Los Lagos,-40.57,-73.15,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,ODEPA / Chile largest Legacy belt,town,
cl-la-union,La Unión,CL,CL-SOUTH,Los Ríos,-40.29,-73.08,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,ODEPA,town,
cl-rio-bueno,Río Bueno,CL,CL-SOUTH,Los Ríos,-40.33,-72.96,high_chill_shb,legacy,open_soil,open,woven,deciduous,commercial_success,Matamala cover region,town,
cl-lanco,Lanco,CL,CL-SOUTH,Los Ríos,-39.45,-72.78,high_chill_shb,top_shelf,open_soil,open,net,deciduous,commercial_success,Los Ríos,town,
cl-valdivia,Valdivia hinterland,CL,CL-SOUTH,Los Ríos,-39.82,-73.05,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,Los Ríos,town,
cl-paillaco,Paillaco,CL,CL-SOUTH,Los Ríos,-40.07,-72.87,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Los Ríos,town,
cl-purranque,Purranque,CL,CL-SOUTH,Los Lagos,-40.92,-73.16,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,Osorno south,town,
cl-frutillar,Frutillar,CL,CL-SOUTH,Los Lagos,-41.12,-73.06,nhb,duke,open_soil,open,net,deciduous,commercial_success,Llanquihue,town,
cl-puerto-varas,Puerto Varas,CL,CL-SOUTH,Los Lagos,-41.32,-72.99,nhb,draper,open_soil,open,net,deciduous,commercial_success,Llanquihue,town,
cl-llanquihue,Llanquihue,CL,CL-SOUTH,Los Lagos,-41.26,-73.01,high_chill_shb,legacy,open_soil,open,woven,deciduous,commercial_success,Matamala-type covers,town,
cl-puerto-montt,Puerto Montt hinterland,CL,CL-SOUTH,Los Lagos,-41.47,-72.94,nhb,bluecrop,open_soil,open,net,deciduous,commercial_caution,"Cool, wet, late",town,
cl-temuco,Temuco,CL,CL-SOUTH,Araucanía,-38.74,-72.6,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_caution,González-Villagra chamber heat work,town,
cl-villarrica,Villarrica,CL,CL-SOUTH,Araucanía,-39.28,-72.23,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,Araucanía lakes,town,
cl-angol,Angol,CL,CL-SOUTH,Araucanía,-37.8,-72.71,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Malleco,town,
cl-los-angeles,Los Ángeles,CL,CL-SOUTH,Biobío,-37.47,-72.35,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,Biobío,town,
cl-chillan,Chillán,CL,CL-CENTRAL,Ñuble,-36.61,-72.1,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_success,Ñuble,town,
cl-linares,Linares,CL,CL-CENTRAL,Maule,-35.85,-71.6,high_chill_shb,top_shelf,open_soil,open,net,deciduous,commercial_success,Maule,town,
cl-cauquenes,Cauquenes,CL,CL-CENTRAL,Maule,-35.97,-72.32,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_caution,"Warmer, drier Maule",town,
cl-curico,Curicó,CL,CL-CENTRAL,Maule,-34.98,-71.24,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_caution,North of core belt,town,
cl-san-fernando,San Fernando,CL,CL-CENTRAL,O'Higgins,-34.59,-70.99,high_chill_shb,legacy,open_soil,open,none,deciduous,commercial_caution,North limit,town,
cl-constitucion,Constitución hinterland,CL,CL-CENTRAL,Maule,-35.33,-72.41,nhb,duke,open_soil,open,net,deciduous,commercial_caution,Coastal fog / cool,town,
cl-rio-negro,Río Negro,CL,CL-SOUTH,Los Lagos,-40.8,-73.22,high_chill_shb,legacy,open_soil,open,woven,deciduous,commercial_success,Osorno,town,
cl-san-pablo,San Pablo,CL,CL-SOUTH,Los Lagos,-40.41,-73.01,high_chill_shb,legacy,open_soil,open,net,deciduous,commercial_success,Osorno,town,
cl-panguipulli,Panguipulli,CL,CL-SOUTH,Los Ríos,-39.64,-72.33,nhb,draper,open_soil,open,net,deciduous,commercial_success,Lakes,town,
cl-la-union-topshelf,La Unión Top Shelf,CL,CL-SOUTH,Los Ríos,-40.27,-73.1,high_chill_shb,top_shelf,open_soil,open,woven,deciduous,commercial_success,Matamala 2023 covers,town,
pe-olmos,Olmos,PE,PE-NORTH,Lambayeque,-6.0,-79.75,evergreen_zero_chill,biloxi_evergreen,substrate,open,net,evergreen,commercial_success,MIDAGRI / Hortifrut-class Olmos,town,
pe-motupe,Motupe,PE,PE-NORTH,Lambayeque,-6.15,-79.71,evergreen_zero_chill,biloxi_evergreen,substrate,open,net,evergreen,commercial_success,Lambayeque,town,
pe-jayanca,Jayanca,PE,PE-NORTH,Lambayeque,-6.39,-79.82,evergreen_zero_chill,biloxi_evergreen,substrate,open,net,evergreen,commercial_success,Lambayeque,town,
pe-ferrenafe,Ferreñafe,PE,PE-NORTH,Lambayeque,-6.64,-79.79,evergreen_zero_chill,ventura,substrate,open,net,evergreen,commercial_caution,Ventura heat flowering fail 2023/24,town,
pe-chiclayo,Chiclayo hinterland,PE,PE-NORTH,Lambayeque,-6.77,-79.84,evergreen_zero_chill,biloxi_evergreen,substrate,open,net,evergreen,commercial_success,Lambayeque,town,
pe-trujillo,Trujillo / Chao,PE,PE-NORTH,La Libertad,-8.17,-78.99,evergreen_zero_chill,biloxi_evergreen,substrate,open,net,evergreen,commercial_success,La Libertad,town,
pe-chao,Chao,PE,PE-NORTH,La Libertad,-8.54,-78.68,evergreen_zero_chill,biloxi_evergreen,substrate,open,net,evergreen,commercial_success,Virú valley,town,
pe-viru,Virú,PE,PE-NORTH,La Libertad,-8.42,-78.75,evergreen_zero_chill,ventura,substrate,open,net,evergreen,commercial_caution,Heat 2023/24,town,
